idea_text,label,source
"Bridal Buddy - Business Idea: a functional slip worn under a wedding gown that allows the wearer to use the restroom on their own . Bridal Buddy is a lightweight slip worn under the gown that lets brides go to the bathroom while wearing it. When nature calls, the bride can bag up her bustle to safely relieve herself without making a mess.",1,SharkTank
"Laid Brand - Business Idea: hair-care products made with pheromones . Laid brand is a Â pheromone-enriched hair care product thatÂ enhances color, in addition to protecting and hydrating hair.Â The pheromones help girls â€œexude confidenceâ€ wherever she goes.",0,SharkTank
Rocketbook - Business Idea: a notebook that can scan contents to cloud services via an app and can be erased by being microwaved . Rocketbook is an intelligent reusable notebook that allows users to write with a traditional pen and notebook. The notebook is erasable and reusable by allowing users to send notes to the cloud. Simply use a smartphone to send writings to the cloud and a microwave oven to erase for future use.,0,SharkTank
Wine & Design - Business Idea: painting classes with wine served . Wine & Design provides space for painting classes for all ages and experience levels where aÂ local artist guides each student with stroke-by-stroke instructions to ensure you paint your own unique masterpiece,1,SharkTank
"Peoples Design - Business Idea: a mixing bowl with a built-in scoop . Peoples Designs Scooping Bowl is a multi-purpose mixing bowl whichÂ saves time, space and money in the kitchen. It features a removable spatula, egg separator, all-in-one washing and draining, in addition to separating various ingredients easily.",1,SharkTank
Rumi Spice - Business Idea: saffron imported from Afghanistan . Rumi Spice offersÂ exceptionally high-quality saffron of Afganistan whichÂ adds a burst of flavor to any dish. ItÂ graces the tables and kitchens of the best restaurants and retailers across the nation.,1,SharkTank
"Thompson Tee - Business Idea: undershirts designed to block underarm sweat . The Thompson Tee is a unique undershirt that blocksÂ underarm sweat and preventsÂ embarrassing wet marks and yellow stains. It is sweat-proof technology which provides a safe, affordable and convenient solution to excessive underarm sweat.",1,SharkTank
Wallet Buckle - Business Idea: a belt buckle that holds credit cards . The Wallet Buckle is a metal belt buckle that securely stores and accesses your cards and ID!. Â It serves as both a belt buckle and easy-to-access wallet.,1,SharkTank
Flag - Business Idea: a free photo printing service that prints ads on the back of the photos,0,SharkTank
"Guard Llama - Business Idea: a portable remote that activates a personal emergency service . Guard Llama is a device that connects to your phone and sends your GPS location, photo, and moreÂ to the Emergency Dispatch Center in case of an urgent situation. It can also alerts anyone you have on your Friends & Family Contact List.",1,SharkTank
Guardian Bikes - Business Idea: children's bicycles with an improved braking system . Guardian Bikes makes bikes for kids that include SureStop brakes whichÂ reduces stopping distance and helps prevent braking related accidents including head-over-handlebar and front wheel skidding.,1,SharkTank
