idea_text,label,source
AvaTheElephant - Health/Wellness: Ava The Elephant - Baby and Child Care,,SharkTank
Mr.Tod'sPieFactory - Food and Beverage: Mr. Tod's Pie Factory - Specialty Food,,SharkTank
Wispots - Business Services: Wispots - Consumer Services,,SharkTank
CollegeFoxesPackingBoxes - Lifestyle/Home: College Foxes Packing Boxes - Consumer Services,,SharkTank
IonicEar - Software/Tech: Ionic Ear - Novelties,,SharkTank
APerfectPear - Food and Beverage: A Perfect Pear - Specialty Food,,SharkTank
ClassroomJams - Children/Education: Classroom Jams - Education,,SharkTank
Lifebelt - Automotive: Lifebelt - Automotive,,SharkTank
CrookedJaw - Fashion/Beauty: Crooked Jaw - Men and Women's Apparel,,SharkTank
StickyNoteHolder - Lifestyle/Home: Sticky Note Holder - Productivity Tools,,SharkTank
TurboBaster - Food and Beverage: TurboBaster - Kitchen Tools,,SharkTank
StressFreeKids - Children/Education: Stress Free Kids - Baby and Child Care,,SharkTank
KwyztaChopstickArt - Children/Education: Kwyzta Chopstick Art - Kitchen Tools,,SharkTank
50StateCapitalsin50Minutes - Children/Education: 50 State Capitals in 50 Minutes - Education,,SharkTank
VoyageAirGuitar - Media/Entertainment: Voyage Air Guitar - Music,,SharkTank
GiftCardRescue - Software/Tech: Gift Card Rescue - Online Services,,SharkTank
Coverplay - Children/Education: Coverplay - Baby and Child Care,,SharkTank
GraffitiRemovalServices - Business Services: Graffiti Removal Services - Professional Services,,SharkTank
"SoulsCalling - Fashion/Beauty: Soul's Calling, Inc. - Women's Accessories",,SharkTank
CoffeeBrandGifts - Food and Beverage: Coffee Brand Gifts - Novelties,,SharkTank
MyTherapyJournal - Health/Wellness: My Therapy Journal - Online Services,,SharkTank
BodyJac - Fitness/Sports/Outdoors: Body Jac - Fitness Equipment,,SharkTank
GoodGriefCelebrations - Business Services: Good Grief Celebrations - Consumer Services,,SharkTank
GranolaGourmet - Food and Beverage: Granola Gourmet - Specialty Food,,SharkTank
FaceBlok - Health/Wellness: Face Blok - Novelties,,SharkTank
PorkBarrelBBQSauce - Food and Beverage: Pork Barrel BBQ Sauce - Specialty Food,,SharkTank
ElementBars - Fitness/Sports/Outdoors: Element Bars - Specialty Food,,SharkTank
UndereaseUnderwear - Fashion/Beauty: Underease Underwear - Undergarments and Basics,,SharkTank
KalyxTechnologies - Fashion/Beauty: Kalyx Technologies - Undergarments and Basics,,SharkTank
TheFizz - Food and Beverage: The Fizz - Non-Alcoholic Beverages,,SharkTank
Soy-Yer-Dough - Food and Beverage: Soy-Yer-Dough - Toys and Games,,SharkTank
GrillCharmsSet - Fashion/Beauty: Grill Charms Set - Kitchen Tools,,SharkTank
BoogieBoxFitness - Fitness/Sports/Outdoors: Boogie Box Fitness - Fitness Programs,,SharkTank
TheFunhouseProject - Media/Entertainment: The Fun house Project - Entertainment,,SharkTank
TreasureChestPets - Pet Products: Treasure Chest Pets - Toys and Games,,SharkTank
Notehall - Software/Tech: Notehall - Online Services,,SharkTank
Throx - Fashion/Beauty: Throx - Undergarments and Basics,,SharkTank
WashedUpHollywood - Fashion/Beauty: Washed Up Hollywood - Fashion Accessories,,SharkTank
GaylaBentleyFashion - Fashion/Beauty: Gayla Bentley Fashion - Women's Apparel,,SharkTank
ChillSoda - Food and Beverage: Chill Soda - Non-Alcoholic Beverages,,SharkTank
CornucopiaExpress - Pet Products: Cornucopia Express - Pet Products,,SharkTank
VirtuSphere - Electronics: Virtusphere - Electronics,,SharkTank
TheUROClub - Fitness/Sports/Outdoors: The UROClub - Golf Products,,SharkTank
JumpForward - Children/Education: Jump Forward - Online Services,,SharkTank
TheBobblePlace - Children/Education: The Bobble Place - Toys and Games,,SharkTank
Mr.Poncho - Electronics: Mr. Poncho - Electronics,,SharkTank
HellsBellsHelmets - Fitness/Sports/Outdoors: Hells Bells Helmets - Outdoor Recreation,,SharkTank
ChefInBlack - Food and Beverage: Chef In Black - Specialty Food,,SharkTank
InkFlip - Electronics: Ink Flip - Electronics,,SharkTank
RompN'Roll - Children/Education: Romp n' Roll - Baby and Children's Entertainment,,SharkTank
TheTwister - Fitness/Sports/Outdoors: The Twister - Golf Products,,SharkTank
GreaseMonkeyWipes - Lifestyle/Home: Grease Monkey Wipes - Outdoor Recreation,,SharkTank
WeeCanShop - Children/Education: Wee Can Shop - Baby and Children's Entertainment,,SharkTank
Podillow - Lifestyle/Home: The Podillow - Novelties,,SharkTank
TheFactionist - Fashion/Beauty: The Factionist - Men and Women's Apparel,,SharkTank
Caffeindicator - Food and Beverage: Caffeindicator - Novelties,,SharkTank
LipstickRemix - Fashion/Beauty: Lipstick Remix - Personal Care and Cosmetics,,SharkTank
LegalGrind - Business Services: Legal Grind - Professional Services,,SharkTank
CaptainIceCream - Food and Beverage: Captain Ice Cream - Specialty Food,,SharkTank
Nubrella - Fashion/Beauty: Nubrella - Novelties,,SharkTank
Qubits - Children/Education: Qubits - Toys and Games,,SharkTank
SendABall - Children/Education: Send A Ball - Novelties,,SharkTank
PillarsOfSlippers - Fashion/Beauty: Pillars of Slippers - Women's Shoes,,SharkTank
LlamaBrew - Green/CleanTech: Llama Brew - Gardening,,SharkTank
WurkinStiffs - Fashion/Beauty: Wurkin Stiffs - Men's Accessories,,SharkTank
TippiToes - Fitness/Sports/Outdoors: Tippi Toes - Baby and Children's Entertainment,,SharkTank
CBSFoods - Food and Beverage: CBS Foods - Specialty Food,,SharkTank
CopadiVino - Food and Beverage: Copa di Vino - Alcoholic Beverages,,SharkTank
Toygaroo - Children/Education: Toygaroo - Toys and Games,,SharkTank
FirstDefenseNasalScreen - Health/Wellness: First Defense Nasal Screen - Health and Well-Being,,SharkTank
Vurtego - Fitness/Sports/Outdoors: Vurtego - Toys and Games,,SharkTank
Waken'Bacon - Food and Beverage: Wake n' Bacon - Novelties,,SharkTank
ModMomFurniture - Lifestyle/Home: Mod Mom Furniture - Furniture,,SharkTank
Flipoutz - Fashion/Beauty: Flipoutz - Toys and Games coins,,SharkTank
FitnessStride - Fitness/Sports/Outdoors: Fitness Stride - Fitness Apparel and Accessories,,SharkTank
PureAyre - Lifestyle/Home: Pure Ayre - Storage and Cleaning Products,,SharkTank
BroccoliWad - Food and Beverage: Broccoli Wad - Novelties,,SharkTank
HillbillyBrand - Fashion/Beauty: Hillbilly Brand - Men and Women's Apparel,,SharkTank
Ride-OnCarry-On - Travel: Ride-On Carry-On - Baby and Child Care,,SharkTank
UncleZip'sBeefJerky - Food and Beverage: Uncle Zip's Beef Jerky - Specialty Food,,SharkTank
Lightfilm - Automotive: Lightfilm - Automotive  for car windows,,SharkTank
FridgeFronts - Lifestyle/Home: Fridge Fronts - Home Improvement,,SharkTank
NewEraBrands - Fashion/Beauty: New Era Brands - Novelties contact lens cases,,SharkTank
ThinGloss - Fashion/Beauty: Thin Gloss - Personal Care and Cosmetics,,SharkTank
SweepEasy - Lifestyle/Home: Sweep Easy - Storage and Cleaning Products,,SharkTank
DaisyCakes - Food and Beverage: Daisy Cakes - Specialty Food,,SharkTank
HotMamaGowns - Fashion/Beauty: Hot Mama Gowns - Maternity gowns,,SharkTank
CaddySwag - Fitness/Sports/Outdoors: Caddy Swag - Golf Products,,SharkTank
Hydromax - Fitness/Sports/Outdoors: Hydromax - Fitness Apparel and Accessories,,SharkTank
CarsikBib - Children/Education: Carsik Bib - Baby and Child Care,,SharkTank
Ecomowers - Green/CleanTech: Ecomowers - Gardening mower,,SharkTank
Games2U - Media/Entertainment: Games2U - Entertainment,,SharkTank
HyConn - Uncertain/Other: HyConn - Productivity Tools fire hydrant,,SharkTank
Origaudio - Electronics: Origaudio - Electronics portable speakers,,SharkTank
ManCandle - Lifestyle/Home: Man Candle - Home Accessories,,SharkTank
OriginalRunnerCompany - Lifestyle/Home: Original Runner Company - Weddings,,SharkTank
AldoOrtaJewelry - Fashion/Beauty: Aldo Orta Jewelry - Women's Accessories,,SharkTank
OneSole - Fashion/Beauty: One Sole - Women's Shoes,,SharkTank
CitiKitty - Pet Products: CitiKitty - cat Products,,SharkTank
SamsonMartin - Fashion/Beauty: Samson Martin - Women's Apparel,,SharkTank
EZVIP - Media/Entertainment: EZ VIP - Entertainment,,SharkTank
TheCleanBottle - Food and Beverage: The Clean Bottle - Water Bottles,,SharkTank
MyWonderfulLife - Business Services: My Wonderful Life - Consumer Services,,SharkTank
BusinessGhost - Business Services: Business Ghost - Professional Services,,SharkTank
IWantToDrawACatForYou - Software/Tech: I Want To Draw A Cat For You - Online Services,,SharkTank
Salespreneur - Business Services: Salespreneur - Professional Services,,SharkTank
Invis-A-Rack - Automotive: Invis-A-Rack - Automotive,,SharkTank
VegasMagicShow - Media/Entertainment: Vegas Magic Show - Entertainment,,SharkTank
YouSmellSoap - Fashion/Beauty: You Smell Soap - Personal Care and Cosmetics,,SharkTank
ChordBuddy - Media/Entertainment: Chord Buddy - Music,,SharkTank
LiquidMoney - Fashion/Beauty: Liquid Money - Novelties,,SharkTank
TailLightz - Electronics: Tail Lightz - Electronics,,SharkTank
WineBalloon - Food and Beverage: Wine Balloon - Wine Accessories,,SharkTank
ShowNo - Fashion/Beauty: Show No - Baby and Children's Apparel and Accessories,,SharkTank
TheSwilt - Fashion/Beauty: The Swilt - Undergarments and Basics,,SharkTank
PuppyCake - Pet Products: Puppy Cake - Pet Products,,SharkTank
TheLastLid - Lifestyle/Home: The Last Lid - Storage and Cleaning Products,,SharkTank
TalbottTeas - Food and Beverage: Talbott Teas - Specialty Food,,SharkTank
M3GirlDesigns - Fashion/Beauty: M3 Girl Designs - Baby and Children's Apparel and Accessories,,SharkTank
LedgePillow - Lifestyle/Home: Ledge Pillow - Novelties,,SharkTank
ReaderestSpecsecure - Lifestyle/Home: Readerest Specsecure - Novelties,,SharkTank
ThePaintedPretzel - Food and Beverage: The Painted Pretzel - Specialty Food,,SharkTank
EssoWatches - Fashion/Beauty: Esso Watches - Homeopathic Remedies,,SharkTank
FiveMinuteFurniture - Lifestyle/Home: Five Minute Furniture - Furniture,,SharkTank
Kisstixx - Fashion/Beauty: Kisstixx - Personal Care and Cosmetics,,SharkTank
TheSmartBaker - Food and Beverage: The Smart Baker - Kitchen Tools,,SharkTank
ScotteVest - Fashion/Beauty: ScotteVest - Men and Women's Apparel,,SharkTank
TheHeatHelper - Lifestyle/Home: The Heat Helper - Home Accessories,,SharkTank
Litter - Fashion/Beauty: Litter - Women's Accessories,,SharkTank
Nardo'sNatural - Fashion/Beauty: Nardo's Natural - Personal Care and Cosmetics,,SharkTank
TheOriginalProfender - Fitness/Sports/Outdoors: The Original Profender - Fitness Equipment,,SharkTank
Rent-A-Grandma - Lifestyle/Home: Rent-A-Grandma - Consumer Services,,SharkTank
TowerPaddleBoards - Fitness/Sports/Outdoors: Tower Paddle Boards - Outdoor Recreation,,SharkTank
MisoMedia - Media/Entertainment: Miso Media - Music,,SharkTank
InstantLifts - Fashion/Beauty: Instant Lifts - Personal Care and Cosmetics,,SharkTank
Vinamor - Food and Beverage: Vinamor - Wine Accessories,,SharkTank
GoGoGear - Fitness/Sports/Outdoors: GoGo Gear - Men and Women's Apparel,,SharkTank
TheAveVenice - Fashion/Beauty: The Ave Venice - Men and Women's Shoes,,SharkTank
Brewer'sCow - Food and Beverage: Brewerâ€šÃ„Ã´s Cow - Specialty Food,,SharkTank
Bark'em'sToGo - Pet Products: Barkâ€šÃ„Ã´emâ€šÃ„Ã´s To Go - Pet Products,,SharkTank
ViewSport - Fitness/Sports/Outdoors: ViewSport - Fitness Apparel and Accessories,,SharkTank
BlondiesCookies - Food and Beverage: Blondies Cookies - Specialty Food,,SharkTank
CopadiVino - Food and Beverage: Copa di Vino - Alcoholic Beverages,,SharkTank
TheSullivanGenerator - Green/CleanTech: The Sullivan Generator - Novelties,,SharkTank
Lollacup - Children/Education: Lollacup - Baby and Child Care,,SharkTank
NailPak - Fashion/Beauty: Nail Pak - Personal Care and Cosmetics,,SharkTank
DebbieBrooksHandbags - Fashion/Beauty: Debbie Brooks Handbags - Women's Accessories,,SharkTank
TrimiTank - Fashion/Beauty: Trimi Tank - Women's Apparel,,SharkTank
VillyCustoms - Fitness/Sports/Outdoors: Villy Customs - Cycling,,SharkTank
